scenario_number,pretty_scenario_names,percent_diff_relative_hump_risk_n,percent_diff_relative_blwh_risk_n,percent_diff_relative_dollars,percent_diff_relative_pounds,percent_diff_bchump,percent_diff_bcblwh,pre_post
1,Delay Statewide,NA,NA,NA,NA,NA,NA,2009-2014
1,Delay Statewide,-36.92771585278211,-18.570586262194198,-0.25588379526648025,-0.3681802366667045,-54.781744751933765,-22.617121351032868,2014-2018
1,Delay Statewide,-121.19039602536755,-120.97145926680611,1.6725078070090762,1.319629156510857,-100,-100,2018-2019
10,"Delay Statewide, Early Closure BIAs",NA,NA,NA,NA,NA,NA,2009-2014
10,"Delay Statewide, Early Closure BIAs",-31.92436461965418,-28.68841089299065,-0.2697467545491218,-0.37999076470331666,-43.918405214612434,-12.524655340148517,2014-2018
10,"Delay Statewide, Early Closure BIAs",-161.98855128054947,-176.03291593938107,1.6832628261783595,1.326060400302399,-100,-100,2018-2019
10alt,"Delay Statewide, Early Closure BIAs",NA,NA,NA,NA,NA,NA,2009-2014
10alt,"Delay Statewide, Early Closure BIAs",5.778366607729772,5.6495763527923115,-12.558081517964773,-12.371775945560676,-44.57513355062354,-15.172492829239937,2014-2018
10alt,"Delay Statewide, Early Closure BIAs",-63.00911749106599,-75.3848048154311,17.906828415006952,16.02511812722262,9.784125783854549,-85.8069938786446,2018-2019
11,"Delay CenCA, Early Closure BIAs",NA,NA,NA,NA,NA,NA,2009-2014
11,"Delay CenCA, Early Closure BIAs",-42.573537130429926,-49.27131652186572,0.23846081296784524,0.13441349049710805,-44.343877338766035,-12.89971299600348,2014-2018
11,"Delay CenCA, Early Closure BIAs",-176.07229674699033,-198.47149592939633,1.1233431043341613,0.7698761020003436,-100,-100,2018-2019
11alt,"Delay CenCA, Early Closure BIAs",NA,NA,NA,NA,NA,NA,2009-2014
11alt,"Delay CenCA, Early Closure BIAs",1.3034178261922051,-6.5108836114769835,-12.114588388723444,-11.921321501120715,-44.47131582851928,-22.503034395775405,2014-2018
11alt,"Delay CenCA, Early Closure BIAs",-60.709369687083154,-73.22953688012264,17.21230060287438,15.36761546693537,12.70577664709345,-85.33870289495296,2018-2019
12,Statewide 50% Effort Reduction Apr-Jul,NA,NA,NA,NA,NA,NA,2009-2014
12,Statewide 50% Effort Reduction Apr-Jul,66.68271429066596,58.77110979277589,-12.919027709990873,-13.056814938317947,-46.53720494203021,-42.14472555346991,2014-2018
12,Statewide 50% Effort Reduction Apr-Jul,-78.13096708449392,-80.24102424762238,18.690160515600667,17.238438736218058,137.61849802732115,45.93736578671638,2018-2019
13,CenCA 50% Effort Reduction Apr-Jul,NA,NA,NA,NA,NA,NA,2009-2014
13,CenCA 50% Effort Reduction Apr-Jul,52.81457755147226,22.844873560083126,-6.948455688550501,-6.903450823702763,-52.1871300576135,-63.708695104901636,2014-2018
13,CenCA 50% Effort Reduction Apr-Jul,-75.63435750776253,-71.22422890586152,9.161134154309432,8.405981023487309,53.18949309237758,52.7929796525245,2018-2019
13alt,CenCA 50% Effort Reduction Apr-Jul,NA,NA,NA,NA,NA,NA,2009-2014
13alt,CenCA 50% Effort Reduction Apr-Jul,55.56927664306503,24.41679842693508,-7.742697697916136,-7.68448603614218,-51.99686435335757,-63.07278490852274,2014-2018
13alt,CenCA 50% Effort Reduction Apr-Jul,-75.7751857363955,-71.78620560118615,10.296022528598366,9.43630839047014,71.52700621131123,62.4667837668547,2018-2019
14,Statewide <30 fathom Depth Restriction Apr-Jul,NA,NA,NA,NA,NA,NA,2009-2014
14,Statewide <30 fathom Depth Restriction Apr-Jul,8.509862734592355,89.29157680677335,0.0015787738903761607,0.0015132578435012216,NaN,NaN,2014-2018
14,Statewide <30 fathom Depth Restriction Apr-Jul,-45.91187919097934,-77.11830760930033,0,0,NaN,NaN,2018-2019
14alt,Statewide <30 fathom Depth Restriction Apr-Jul,NA,NA,NA,NA,NA,NA,2009-2014
14alt,Statewide <30 fathom Depth Restriction Apr-Jul,159.38343577735498,124.85115672265945,-14.035015673450486,-13.382854531075456,-42.85105119754943,-45.7081480032407,2014-2018
14alt,Statewide <30 fathom Depth Restriction Apr-Jul,-88.69007744806555,-87.91923615691486,18.92637785322652,16.97330304593508,50.64420981042494,17.257990003485553,2018-2019
15,CenCA <30 fathom Depth Restriction Apr-Jul,NA,NA,NA,NA,NA,NA,2009-2014
15,CenCA <30 fathom Depth Restriction Apr-Jul,3.2241626737714193,40.828044937870985,0,0,NaN,NaN,2014-2018
15,CenCA <30 fathom Depth Restriction Apr-Jul,-46.4193341096767,-66.87750464833455,0,0,NaN,NaN,2018-2019
15alt,CenCA <30 fathom Depth Restriction Apr-Jul,NA,NA,NA,NA,NA,NA,2009-2014
15alt,CenCA <30 fathom Depth Restriction Apr-Jul,157.3012194685961,103.85605779305135,-10.33475432824161,-9.82256006319997,-37.31345726917233,-52.02579540642174,2014-2018
15alt,CenCA <30 fathom Depth Restriction Apr-Jul,-87.56988727771213,-85.05923540976477,13.273177425761046,11.91677834675751,6.558024297175396,2.883521208809383,2018-2019
16,"Statewide 50% Effort Reduction, <30 fathom Depth Restriction Apr-Jul",NA,NA,NA,NA,NA,NA,2009-2014
16,"Statewide 50% Effort Reduction, <30 fathom Depth Restriction Apr-Jul",75.46716673799467,56.04540749015162,-12.918308251308034,-13.05613894778515,-44.83718348466321,-46.330460895768255,2014-2018
16,"Statewide 50% Effort Reduction, <30 fathom Depth Restriction Apr-Jul",-82.41786717976687,-82.74872344623351,18.690160515600667,17.238438736218058,95.70163225215877,33.31353036741991,2018-2019
16alt,"Statewide 50% Effort Reduction, <30 fathom Depth Restriction Apr-Jul",NA,NA,NA,NA,NA,NA,2009-2014
16alt,"Statewide 50% Effort Reduction, <30 fathom Depth Restriction Apr-Jul",88.75061791312271,73.89194637558053,-20.36411943504018,-19.995856040692065,-46.38091428875261,-44.23274786804117,2014-2018
16alt,"Statewide 50% Effort Reduction, <30 fathom Depth Restriction Apr-Jul",-82.61342629319924,-83.45524144256225,31.301469914655883,28.269467956545707,112.55809976721143,40.48866455707973,2018-2019
17,"CenCA 50% Effort Reduction, <30 fathom Depth Restriction Apr-Jul",NA,NA,NA,NA,NA,NA,2009-2014
17,"CenCA 50% Effort Reduction, <30 fathom Depth Restriction Apr-Jul",62.275192050543104,18.65474008997049,-6.948455688550501,-6.903450823702763,-50.53258681920863,-69.14932691539003,2014-2018
17,"CenCA 50% Effort Reduction, <30 fathom Depth Restriction Apr-Jul",-81.54514704102012,-75.6723194760124,9.161134154309432,8.405981023487309,20.371246002693265,46.09417509249649,2018-2019
17alt,"CenCA 50% Effort Reduction, <30 fathom Depth Restriction Apr-Jul",NA,NA,NA,NA,NA,NA,2009-2014
17alt,"CenCA 50% Effort Reduction, <30 fathom Depth Restriction Apr-Jul",81.49919181053292,42.964722419199454,-13.071930232618069,-12.690078246087436,-49.836449423788785,-62.3221459895084,2014-2018
17alt,"CenCA 50% Effort Reduction, <30 fathom Depth Restriction Apr-Jul",-81.4294511373044,-77.82768204901653,17.994972131444214,16.251984085796956,96.00026603074257,93.23717427632744,2018-2019
18,"CenCA 50% Effort Reduction, Statewide <30 fathom Depth Restriction Apr-Jul",NA,NA,NA,NA,NA,NA,2009-2014
18,"CenCA 50% Effort Reduction, Statewide <30 fathom Depth Restriction Apr-Jul",65.01111796478119,-18.210218341687245,-6.94695330863922,-6.90202283104338,-50.9036046421183,-97.61736967135512,2014-2018
18,"CenCA 50% Effort Reduction, Statewide <30 fathom Depth Restriction Apr-Jul",-83.80804228050405,-65.47922097981325,9.161134154309432,8.405981023487309,10.089709801561726,1994.455813054787,2018-2019
18alt,"CenCA 50% Effort Reduction, Statewide <30 fathom Depth Restriction Apr-Jul",NA,NA,NA,NA,NA,NA,2009-2014
18alt,"CenCA 50% Effort Reduction, Statewide <30 fathom Depth Restriction Apr-Jul",93.62642546181534,63.7164138462939,-16.847088278708164,-16.294628825035183,-50.4883044344306,-56.307986728355885,2014-2018
18alt,"CenCA 50% Effort Reduction, Statewide <30 fathom Depth Restriction Apr-Jul",-83.49488898540866,-81.85552108589812,24.177117894294298,21.73768291816933,113.86418556873909,84.34149491160977,2018-2019
2,Delay CenCA,NA,NA,NA,NA,NA,NA,2009-2014
2,Delay CenCA,-44.25637130126801,-33.596613402338264,0.23569855790472632,0.1318949767204064,-55.261947435042956,-16.798073976150853,2014-2018
2,Delay CenCA,-124.98520543225264,-124.48198559914084,1.1233431043341613,0.7698761020003436,-100,-100,2018-2019
3,Early Closure Statewide,NA,NA,NA,NA,NA,NA,2009-2014
3,Early Closure Statewide,78.01227749268942,71.1836354643173,-27.102000567757553,-26.854903329703088,-45.14408337128525,-38.6183976033826,2014-2018
3,Early Closure Statewide,-82.51331763533271,-84.13743127418576,46.83733875625201,42.14388830658466,97.43987745190412,20.88412874560806,2018-2019
4,Early Closure CenCA,NA,NA,NA,NA,NA,NA,2009-2014
4,Early Closure CenCA,62.8970839239404,29.14625214084797,-14.219281769973236,-13.997687277031199,-52.64394060828147,-65.43598781500972,2014-2018
4,Early Closure CenCA,-81.33145267384072,-77.52848253134394,20.336327065470805,18.450235311097757,85.85490996733562,95.0854497401585,2018-2019
4alt,Early Closure CenCA,NA,NA,NA,NA,NA,NA,2009-2014
4alt,Early Closure CenCA,7.713574054539878,-20.573131139357944,0.0466704372321797,0.04109246289803697,7.713574054539878,-89.1950691004177,2014-2018
4alt,Early Closure CenCA,-89.02809260837411,-71.33864724755969,-0.05469560592278503,-0.04878065799352508,-89.02809260837411,318.6778974166547,2018-2019
5,Early Closure BIAs,NA,NA,NA,NA,NA,NA,2009-2014
5,Early Closure BIAs,-42.591684868000506,17.059126568572154,0.0027187379907592877,0.0024926921050754244,Inf,NaN,2014-2018
5,Early Closure BIAs,-31.466841067320388,-73.35962462088207,0,0,-100,NaN,2018-2019
5alt,Early Closure BIAs,NA,NA,NA,NA,NA,NA,2009-2014
5alt,Early Closure BIAs,87.09577953156438,53.978671207994275,-12.0679284866915,-11.928220602308269,-40.134393308296616,-43.83375634070686,2014-2018
5alt,Early Closure BIAs,-83.30987524633206,-81.03378274648465,17.135632143596403,15.556932478907742,64.13599406837655,35.75071633790219,2018-2019
6,"Delay Statewide, Early Closure Statewide",NA,NA,NA,NA,NA,NA,2009-2014
6,"Delay Statewide, Early Closure Statewide",18.90132132450326,21.161167822342236,-27.029928978723124,-26.86267076334763,-45.40104127311054,-25.221038077848362,2014-2018
6,"Delay Statewide, Early Closure Statewide",-60.159322610316366,-70.51387999733657,47.473019037071815,42.13041242102709,83.10268629873997,-40.02700118639363,2018-2019
7,"Delay Statewide, Early Closure CenCA",NA,NA,NA,NA,NA,NA,2009-2014
7,"Delay Statewide, Early Closure CenCA",3.479598022307517,3.1239456925812763,-14.68284911299378,-14.436116033178818,-44.877610723855625,-16.5188575528015,2014-2018
7,"Delay Statewide, Early Closure CenCA",-50.61663950182528,-61.177621017306016,20.57540674013439,18.573756532653217,26.629686108127224,-61.04305588024399,2018-2019
7alt,"Delay Statewide, Early Closure CenCA",NA,NA,NA,NA,NA,NA,2009-2014
7alt,"Delay Statewide, Early Closure CenCA",-20.686827604282076,7.383805581808354,-0.5538355326352425,-0.5482405610346199,-38.41852996292645,-9.567552490398526,2014-2018
7alt,"Delay Statewide, Early Closure CenCA",-50.448057688249946,-64.99091966762957,-0.3265477149917696,0.003734815861139933,-57.54458786125241,-86.75301830696945,2018-2019
8,"Delay CenCA, Early Closure Statewide",NA,NA,NA,NA,NA,NA,2009-2014
8,"Delay CenCA, Early Closure Statewide",19.853259988969835,18.947635263119526,-27.36463556256358,-26.97209372631663,-47.40242723793709,-29.86920908564974,2014-2018
8,"Delay CenCA, Early Closure Statewide",-58.98224899138344,-69.50877161390994,47.013296549308244,41.79760446694648,88.35888262716536,-38.127629780328014,2018-2019
9,"Delay CenCA, Early Closure CenCA",NA,NA,NA,NA,NA,NA,2009-2014
