scenario_number,pretty_scenario_names,percent_diff_relative_hump_risk_n,percent_diff_relative_blwh_risk_n,percent_diff_relative_dollars,percent_diff_relative_pounds,percent_diff_cbhump,percent_diff_cbblwh,pre_post
1,Delay Statewide,NA,NA,NA,NA,NA,NA,2009-2014
1,Delay Statewide,-37.22660994060802,-8.695821908722792,0.409435462379051,-0.006962933672601282,NaN,NaN,2014-2018
1,Delay Statewide,-139.55962497750517,-140.69294333221998,1.3692688184854478,1.2619794842319059,NaN,NaN,2018-2019
10,"Delay Statewide, Early Closure BIAs",NA,NA,NA,NA,NA,NA,2009-2014
10,"Delay Statewide, Early Closure BIAs",-37.10483864169424,-42.75354933165576,0.3984762400620339,-0.0020304579177094855,-500.92163511518584,205.9914613085553,2014-2018
10,"Delay Statewide, Early Closure BIAs",-330.76867480569626,-416.0870898745694,1.3723142489394737,1.2502750699335363,-100,-100,2018-2019
10alt,"Delay Statewide, Early Closure BIAs",NA,NA,NA,NA,NA,NA,2009-2014
10alt,"Delay Statewide, Early Closure BIAs",1.6777675420117415,4.559886860581505,-11.26109991445564,-11.99533642737203,87.92714241208883,69.72652845516191,2014-2018
10alt,"Delay Statewide, Early Closure BIAs",-61.66121199575614,-77.46679056440837,17.538237866147565,16.425865917875587,-30.738905102077013,-460.28877901304236,2018-2019
11,"Delay CenCA, Early Closure BIAs",NA,NA,NA,NA,NA,NA,2009-2014
11,"Delay CenCA, Early Closure BIAs",-38.01433305822873,-68.3182019194565,0.8999001395168443,0.6230842784363395,-188.25474030073812,-207.14859918461366,2014-2018
11,"Delay CenCA, Early Closure BIAs",-347.5540480849948,-576.241210815684,0.7738824370799982,0.5486574366850873,-100,-100,2018-2019
11alt,"Delay CenCA, Early Closure BIAs",NA,NA,NA,NA,NA,NA,2009-2014
11alt,"Delay CenCA, Early Closure BIAs",2.573635922299356,-7.262219862159348,-10.809765346866682,-11.427144571884268,82.82726389212421,246.94789591153452,2014-2018
11alt,"Delay CenCA, Early Closure BIAs",-61.058473070292465,-75.9773056286157,16.79415113182405,15.57520644618834,-28.898710231498097,-452.28430769789594,2018-2019
12,Statewide 50% Effort Reduction Apr-Jul,NA,NA,NA,NA,NA,NA,2009-2014
12,Statewide 50% Effort Reduction Apr-Jul,69.83223271917169,63.53983978047238,-12.582073405983314,-12.9740069055598,62.406633596921,60.06581243433159,2014-2018
12,Statewide 50% Effort Reduction Apr-Jul,-79.73698173315063,-81.41069400823386,19.574602213975144,18.009012091614913,-61.56245796901896,-49.77469059859146,2018-2019
13,CenCA 50% Effort Reduction Apr-Jul,NA,NA,NA,NA,NA,NA,2009-2014
13,CenCA 50% Effort Reduction Apr-Jul,39.10963221475593,12.044241447689993,-5.968255223025601,-6.2991428974897525,63.31739289017523,105.3763507655897,2014-2018
13,CenCA 50% Effort Reduction Apr-Jul,-75.16083143002928,-67.84384137227562,8.972320612317661,8.339278757334831,-53.31019229197391,-70.36350632953796,2018-2019
13alt,CenCA 50% Effort Reduction Apr-Jul,NA,NA,NA,NA,NA,NA,2009-2014
13alt,CenCA 50% Effort Reduction Apr-Jul,40.58962628021179,12.6797420321352,-6.656196743560472,-7.015319334816735,62.13724178453493,111.06760663991717,2014-2018
