scenario_number,pretty_scenario_names,percent_diff_relative_hump_risk_n,percent_diff_relative_blwh_risk_n,percent_diff_relative_dollars,percent_diff_relative_pounds,percent_diff_bchump,percent_diff_bcblwh,pre_post
13,CenCA 50% Effort Reduction Apr-Jul,NA,NA,NA,NA,NA,NA,2009-2014
13,CenCA 50% Effort Reduction Apr-Jul,52.81457755147226,22.844873560083126,-6.948455688550501,-6.903450823702763,-52.1871300576135,-63.708695104901636,2014-2018
13,CenCA 50% Effort Reduction Apr-Jul,-75.63435750776253,-71.22422890586152,9.161134154309432,8.405981023487309,53.18949309237758,52.7929796525245,2018-2019
15,CenCA <30 fathom Depth Restriction Apr-Jul,NA,NA,NA,NA,NA,NA,2009-2014
15,CenCA <30 fathom Depth Restriction Apr-Jul,3.2241626737714193,40.828044937870985,0,0,NaN,NaN,2014-2018
15,CenCA <30 fathom Depth Restriction Apr-Jul,-46.4193341096767,-66.87750464833455,0,0,NaN,NaN,2018-2019
17,"CenCA 50% Effort Reduction, <30 fathom Depth Restriction Apr-Jul",NA,NA,NA,NA,NA,NA,2009-2014
17,"CenCA 50% Effort Reduction, <30 fathom Depth Restriction Apr-Jul",62.275192050543104,18.65474008997049,-6.948455688550501,-6.903450823702763,-50.53258681920863,-69.14932691539003,2014-2018
17,"CenCA 50% Effort Reduction, <30 fathom Depth Restriction Apr-Jul",-81.54514704102012,-75.6723194760124,9.161134154309432,8.405981023487309,20.371246002693265,46.09417509249649,2018-2019
2,Delay CenCA,NA,NA,NA,NA,NA,NA,2009-2014
2,Delay CenCA,-44.25637130126801,-33.596613402338264,0.23569855790472632,0.1318949767204064,-55.261947435042956,-16.798073976150853,2014-2018
2,Delay CenCA,-124.98520543225264,-124.48198559914084,1.1233431043341613,0.7698761020003436,-100,-100,2018-2019
4,Early Closure CenCA,NA,NA,NA,NA,NA,NA,2009-2014
4,Early Closure CenCA,62.8970839239404,29.14625214084797,-14.219281769973236,-13.997687277031199,-52.64394060828147,-65.43598781500972,2014-2018
4,Early Closure CenCA,-81.33145267384072,-77.52848253134394,20.336327065470805,18.450235311097757,85.85490996733562,95.0854497401585,2018-2019
9,"Delay CenCA, Early Closure CenCA",NA,NA,NA,NA,NA,NA,2009-2014
9,"Delay CenCA, Early Closure CenCA",0.5148506708481232,-7.349904054959648,-14.130796188656252,-13.89421802430867,-44.81652310835974,-22.50588042666835,2014-2018
9,"Delay CenCA, Early Closure CenCA",-47.69965757072997,-57.82227117287323,19.68410831262739,17.74149687086502,29.767905114300042,-59.81672404047557,2018-2019
sq,Status Quo,NA,NA,NA,NA,NA,NA,2009-2014
sq,Status Quo,NaN,NaN,0,0,NaN,NaN,2014-2018
sq,Status Quo,NaN,NaN,0,0,NaN,NaN,2018-2019
