scenario_number,pretty_scenario_names,percent_diff_relative_hump_risk_n,percent_diff_relative_blwh_risk_n,percent_diff_relative_dollars,percent_diff_relative_pounds,percent_diff_cbhump,percent_diff_cbblwh,pre_post
13,CenCA 50% Effort Reduction Apr-Jul,NA,NA,NA,NA,NA,NA,2009-2014
13,CenCA 50% Effort Reduction Apr-Jul,39.10963221475593,12.044241447689993,-5.968255223025601,-6.2991428974897525,63.31739289017523,105.3763507655897,2014-2018
13,CenCA 50% Effort Reduction Apr-Jul,-75.16083143002928,-67.84384137227562,8.972320612317661,8.339278757334831,-53.31019229197391,-70.36350632953796,2018-2019
15,CenCA <30 fathom Depth Restriction Apr-Jul,NA,NA,NA,NA,NA,NA,2009-2014
15,CenCA <30 fathom Depth Restriction Apr-Jul,15.774328942989598,47.8487886933155,0,0,NaN,NaN,2014-2018
15,CenCA <30 fathom Depth Restriction Apr-Jul,-64.29704833383556,-72.53534663584539,0,0,NaN,NaN,2018-2019
17,"CenCA 50% Effort Reduction, <30 fathom Depth Restriction Apr-Jul",NA,NA,NA,NA,NA,NA,2009-2014
17,"CenCA 50% Effort Reduction, <30 fathom Depth Restriction Apr-Jul",37.60318382286412,1.3145183748023108,-5.968255223025601,-6.2991428974897525,74.25145390216025,107.36193770932165,2014-2018
17,"CenCA 50% Effort Reduction, <30 fathom Depth Restriction Apr-Jul",-78.10187421769605,-68.31874620470671,8.972320612317661,8.339278757334831,-50.30634138456274,-73.80182385494574,2018-2019
2,Delay CenCA,NA,NA,NA,NA,NA,NA,2009-2014
2,Delay CenCA,-37.61985626267286,-27.559285680893968,0.9057135711966426,0.6282564337838843,NaN,NaN,2014-2018
2,Delay CenCA,-141.37783775796362,-145.96762254058348,0.7738824370799982,0.5486574366851016,NaN,NaN,2018-2019
4,Early Closure CenCA,NA,NA,NA,NA,NA,NA,2009-2014
4,Early Closure CenCA,43.97569231434167,15.335073318263579,-12.336847834768545,-12.855543826861654,66.67443882351036,80.91936311153475,2014-2018
4,Early Closure CenCA,-82.1209148512071,-76.1909244497439,19.893858158081045,18.299586795755467,-39.282770331675074,-60.94807944149752,2018-2019
9,"Delay CenCA, Early Closure CenCA",NA,NA,NA,NA,NA,NA,2009-2014
9,"Delay CenCA, Early Closure CenCA",-5.2311919547077865,-13.100547611584105,-11.530626152770628,-12.305167470082855,81.49601083630886,190.33097781328186,2014-2018
9,"Delay CenCA, Early Closure CenCA",-35.82394581506104,-46.005231791847265,17.46938615149838,16.45341035835757,-42.31767086224109,-21.799268150800568,2018-2019
sq,Status Quo,NA,NA,NA,NA,NaN,NaN,2009-2014
sq,Status Quo,NaN,NaN,0,0,NaN,NaN,2014-2018
sq,Status Quo,NaN,NaN,0,0,NaN,NaN,2018-2019
