pre_post,scenario_number,pretty_scenario_names,rank_hump,rank_blwh,rank_both,rank_dollars,rank_pounds,mean_n_risk_humpback,mean_relative_hump_risk_n,mean_n_risk_blue,mean_relative_blwh_risk_n,mean_n_risk_both,mean_relative_both_risk_n,mean_DCRB_rev,mean_relative_dollars,mean_DCRB_lbs,mean_relative_pounds,mean_bchump,mean_bcblwh,scenario_rank
2014-2018,15,CenCA <30 fathom Depth Restriction Apr-Jul,1,1,1,6,6,0.29316876305099193,-2.137381800547983,0.22896693616740182,-5.890077160440649,0.2610678496091969,-3.9017395686956284,16249730.23657143,100,4915832.302340815,100,0,0,1
2014-2018,sq,Status Quo,2,2,2,7,7,0.28772037862894007,0,0.2151807326907625,0,0.25145055565985125,0,16249730.23657143,100,4915832.302340815,100,0,0,2
2014-2018,17,"CenCA 50% Effort Reduction, <30 fathom Depth Restriction Apr-Jul",4,3,3,4,4,0.26316725661940105,9.997548195635785,0.20421714053640197,4.798786595952562,0.23369219857790152,7.322003055158565,15128050.804966483,90.9887069831235,4615640.365767475,91.84472427114895,1.5327853455686986,1.1160235028208785,3
2014-2018,13,CenCA 50% Effort Reduction Apr-Jul,5,4,4,3,3,0.25810976400598384,11.944956690789468,0.19577061909026083,8.42546779509419,0.2269401915481223,10.050665696199793,15128050.804966483,90.9887069831235,4615640.365767475,91.84472427114895,1.8999119224027123,1.8645132083029883,4
2014-2018,2,Delay CenCA,3,6,5,5,5,0.2567063400301256,9.801812327057805,0.16055408416087164,27.421176737626542,0.20863021209549865,16.624914223854027,16030451.467789251,98.889135713032,4871416.650826893,99.23600570747843,6.125399724986115,21.39346638923366,5
2014-2018,4,Early Closure CenCA,6,5,6,2,2,0.23582324687540202,21.149845690545288,0.18211674283138465,14.2589809559721,0.20896999485339335,17.47474612117016,14006371.37336154,81.97741396624701,4315448.429194135,83.68944854229788,1.5720366392827838,1.4701720844273023,6
2014-2018,9,"Delay CenCA, Early Closure CenCA",7,7,7,1,1,0.20133574547606645,32.0780255598195,0.12356140967791551,43.70303950938451,0.16244857757699097,35.56667471998855,13730857.301585399,80.10042346193194,4254129.973785905,82.46294503608004,3.1284531009431618,6.504125335469437,7
2009-2014,15,CenCA <30 fathom Depth Restriction Apr-Jul,1,1,1,6,6,0.10788264787227761,-2.070621592061679,0.08538375329381467,-3.863101731906835,0.09663320058304614,-2.7705700028832725,12938699.568177262,100,4955602.904371005,100,0,0,1
2009-2014,sq,Status Quo,2,2,2,7,7,0.10561912231695889,0,0.08237146914653144,0,0.09399529573174516,0,12938699.568177262,100,4955602.904371005,100,0,0,2
2009-2014,17,"CenCA 50% Effort Reduction, <30 fathom Depth Restriction Apr-Jul",3,3,3,4,4,0.09904712993003309,6.160860492170544,0.07743870030530743,6.538962903415939,0.08824291511767025,6.170847493835159,12692186.048921935,97.78312402702147,4898951.377859608,98.65534768342734,3.098575904842125,3.6175013094855726,3
2018-2019,2,Delay CenCA,1,1,1,6,6,0.09883530803824869,-2.449002945999257,0.0440054999002986,-7.904976542751863,0.07142040396927365,-4.070109106153463,10532035.360000001,100,3056989.15,100,0,0,1
2018-2019,15,CenCA <30 fathom Depth Restriction Apr-Jul,2,2,2,5,5,0.09757751685235416,-1.1452234013521911,0.04145069919590446,-1.6404025530541322,0.06951410802412931,-1.2923535072753012,10532035.360000001,100,3056989.15,100,0,0,2
2009-2014,13,CenCA 50% Effort Reduction Apr-Jul,4,4,4,3,3,0.09727295341838929,7.816634304254166,0.07541062975737943,9.125931204606458,0.08634179158788435,8.181591469736047,12692186.048921935,97.78312402702147,4898951.377859608,98.65534768342734,3.9736412490864197,5.137630663026439,4
2018-2019,sq,Status Quo,3,3,3,7,7,0.09647268904153675,0,0.04078171490344902,0,0.06862720197249289,0,10532035.360000001,100,3056989.15,100,0,0,3
2018-2019,17,"CenCA 50% Effort Reduction, <30 fathom Depth Restriction Apr-Jul",4,4,4,4,4,0.09469273626734112,1.8450328190077303,0.04011679133719578,1.6304453302845467,0.06740476380226845,1.7812735112155864,10460870.8705,99.32430449511897,3043696.5775,99.56517436445597,1.8450328190077303,1.6304453302845467,4
2018-2019,13,CenCA 50% Effort Reduction Apr-Jul,5,5,5,3,3,0.09366488476492421,2.910465443130361,0.03961990694047208,2.8488452869810166,0.06664239585269814,2.892156554175551,10460870.8705,99.32430449511897,3043696.5775,99.56517436445597,2.910465443130361,2.8488452869810166,5
2018-2019,4,Early Closure CenCA,6,6,6,2,2,0.09266359134011735,3.948368952149106,0.039201050908105266,3.875913504584072,0.0659323211241113,3.92684062722205,10389706.381000001,98.64860899023795,3030404.005,99.13034872891191,2.9217072805925466,2.8680918228592653,6
2009-2014,4,Early Closure CenCA,5,5,5,2,2,0.09170964957413691,12.98356310688811,0.07094043728175682,15.040998785979074,0.08132504342794686,13.53097424934334,12445672.529666608,95.56624805404294,4842299.851348213,97.31069536685469,3.319610329650225,4.253476351526508,5
2009-2014,2,Delay CenCA,6,6,6,5,5,0.08561415351408418,17.583735676828603,0.05341188332531342,35.674067801510134,0.0695130184196988,25.036244498468758,12795560.720277263,98.65660352125462,4920012.818815448,99.10529080723953,13.691699512607064,25.712705716814053,6
2018-2019,9,"Delay CenCA, Early Closure CenCA",7,7,7,1,1,0.08028754586852536,16.776917212334364,0.03637702899791139,10.800639247186517,0.058332287433218374,15.001215616223018,10096796.63694453,95.86747757505182,2968125.711210484,97.09310584927933,4.0597280515772995,2.613570632305028,7
2009-2014,9,"Delay CenCA, Early Closure CenCA",7,7,7,1,1,0.07060134759780783,31.913717570813592,0.043480228555266634,48.685411738770505,0.05704078807653723,38.3881682552024,12188386.610409785,93.2818984066908,4772689.727647488,95.76934689398709,5.669184468181074,8.393056623237936,7
