pre_post,scenario_number,pretty_scenario_names,rank_hump,rank_blwh,rank_both,rank_dollars,rank_pounds,mean_n_risk_humpback,mean_relative_hump_risk_n,mean_n_risk_blue,mean_relative_blwh_risk_n,mean_n_risk_both,mean_relative_both_risk_n,mean_DCRB_rev,mean_relative_dollars,mean_DCRB_lbs,mean_relative_pounds,mean_cbhump,mean_cbblwh,scenario_rank
2014-2018,15,CenCA <30 fathom Depth Restriction Apr-Jul,1,1,1,6,6,0.08090439530715988,-2.483189038786354,0.07168126139306395,-4.628706453187931,0.07629282835011192,-3.5982217588041596,3108251.9731982653,100,922574.804611793,100,0,0,1
2014-2018,sq,Status Quo,2,2,2,7,7,0.07895031240882172,0,0.06785313434446626,0,0.07340172337664398,0,3108251.9731982653,100,922574.804611793,100,NaN,NaN,2
2014-2018,17,"CenCA 50% Effort Reduction, <30 fathom Depth Restriction Apr-Jul",4,3,3,4,4,0.07228433346470822,9.165006740259917,0.06397068573456328,4.823368260638566,0.06812750959963576,6.561209258003934,2891512.961412049,91.07627051009024,863175.3688154813,91.86255447706586,0.7540847457842635,1.2742531224414233,3
2014-2018,2,Delay CenCA,3,6,5,5,5,0.07156649915308254,9.062824336624752,0.05580254418566061,23.194341692255993,0.06368452166937157,14.415756914618107,3079925.241335905,99.232060511747,916497.5284129516,99.45433638730523,NaN,NaN,4
2014-2018,13,CenCA 50% Effort Reduction Apr-Jul,5,4,4,3,3,0.07033243655025205,11.691299426278007,0.06143087766344822,7.935690916598001,0.06588165710685014,9.370281324936899,2891512.961412049,91.07627051009024,863175.3688154813,91.86255447706586,0.5546754431344068,0.7741174761709213,5
2014-2018,4,Early Closure CenCA,6,5,6,2,2,0.0651486122443198,18.903575861261782,0.057767225344421,12.016182290940314,0.061457918794370396,14.726860245215192,2674773.949625832,82.15254102018048,803775.9330191696,83.72510895413171,0.7329758285489167,1.0099515944735273,6
2014-2018,9,"Delay CenCA, Early Closure CenCA",7,7,7,1,1,0.05635632018749419,29.620952115046297,0.044793011531055665,36.90164487367978,0.050574665859274934,30.78823159192326,2610537.5036962866,79.99099869898231,789282.475723715,82.22657401333704,0.5503856822420703,0.7126340233976958,7
2009-2014,15,CenCA <30 fathom Depth Restriction Apr-Jul,1,1,1,6,6,0.03876116633872216,-2.1448528887687557,0.02982928791777324,-2.844394726708397,0.0342952271282477,-2.4337174423985264,3409544.0517780157,100,1272899.5767505711,100,0,0,1
2009-2014,sq,Status Quo,2,2,2,7,7,0.03793297169437423,0,0.02899603729306499,0,0.03346450449371961,0,3409544.0517780157,100,1272899.5767505711,100,NaN,NaN,2
2009-2014,17,"CenCA 50% Effort Reduction, <30 fathom Depth Restriction Apr-Jul",3,3,3,4,4,0.035176565419666114,6.660461252159677,0.027229277888421957,6.68542813345636,0.031202921654044036,6.476079996483264,3313507.1949018682,96.85693988355317,1251888.7844172101,98.03811546415925,0.432756645007778,0.6145067588188057,3
2009-2014,13,CenCA 50% Effort Reduction Apr-Jul,4,4,4,3,3,0.034499762890932054,8.404378072274037,0.02661150798743212,8.803820159596874,0.030555635439182088,8.363019110903254,3313507.1949018682,96.85693988355317,1251888.7844172101,98.03811546415925,0.33963035615404724,0.37692629812790635,4
2009-2014,4,Early Closure CenCA,5,5,5,2,2,0.032532608160517715,13.129699574557117,0.025473059359897618,13.027627405636066,0.02900283376020767,12.768761332970133,3217470.338025721,93.71387976710633,1230877.9920838492,96.07623092831851,0.4397649895945091,0.5582330034242402,5
2009-2014,2,Delay CenCA,6,6,6,5,5,0.032140628169367434,14.528380015901956,0.02140104011217011,28.613902255608075,0.026770834140768772,19.900075599911627,3358592.3577780155,98.34136938314325,1260947.3367505712,98.83340913568236,0.1501193473575455,0.059306908915116245,6
2018-2019,2,Delay CenCA,1,1,1,6,6,0.02962440713456873,-3.7500007502978328,0.013355236755144655,-13.614025153979892,0.021489821944856692,-6.626580724879716,1761991.935,100,511476.65,100,0,0,1
