pre_post,scenario_number,pretty_scenario_names,rank_hump,rank_blwh,rank_both,rank_dollars,rank_pounds,mean_n_risk_humpback,mean_relative_hump_risk_n,mean_n_risk_blue,mean_relative_blwh_risk_n,mean_n_risk_both,mean_relative_both_risk_n,mean_DCRB_rev,mean_relative_dollars,mean_DCRB_lbs,mean_relative_pounds,mean_cbhump,mean_cbblwh,scenario_rank
2014-2018,5,Early Closure BIAs,2,1,1,18,18,0.08168487510826095,-3.2695624282102154,0.07857009125506224,-13.587573639866134,0.0801274831816616,-8.469499782956886,3108251.973198266,100,922574.804611793,100,3.0553231003661486e-15,3.428037583467737e-16,1
2014-2018,14,Statewide <30 fathom Depth Restriction Apr-Jul,1,2,2,16,16,0.08157546812229415,-3.3758201217472306,0.07788276862863253,-12.79366361423993,0.07972911837546333,-7.987825837922435,3108251.9731982653,100,922574.804611793,100,0,0,2
2014-2018,15,CenCA <30 fathom Depth Restriction Apr-Jul,3,3,3,17,17,0.08090439530715988,-2.483189038786354,0.07168126139306395,-4.628706453187931,0.07629282835011192,-3.5982217588041596,3108251.9731982653,100,922574.804611793,100,0,0,3
2014-2018,sq,Status Quo,4,5,4,19,19,0.07895031240882172,0,0.06785313434446626,0,0.07340172337664398,0,3108251.9731982653,100,922574.804611793,100,NaN,NaN,4
2014-2018,11,"Delay CenCA, Early Closure BIAs",5,7,6,14,14,0.07470236223682385,5.348046095543385,0.06886394498844794,5.772188833228123,0.07178315361263589,4.126042317709772,3079925.241335905,99.232060511747,916497.5284129516,99.45433638730523,-0.7459289464576447,-0.11723282097272615,5
2014-2018,10,"Delay Statewide, Early Closure BIAs",6,9,7,12,13,0.07435741928083875,5.737045816169137,0.06603693421401008,10.212823773183654,0.07019717674742441,6.2166138770254955,3066443.0243830564,98.64626327305749,912367.0870456524,98.76516377948604,0.46898495567556925,0.15884505629416995,6
2014-2018,18,"CenCA 50% Effort Reduction, Statewide <30 fathom Depth Restriction Apr-Jul",7,4,5,11,11,0.072935023837483,8.30442740030185,0.07027035457767769,-3.469239864686027,0.07160268920758035,2.1214453710204695,2891512.961412049,91.07627051009024,863175.3688154813,91.86255447706586,0.9001306433267078,-2.743208712791817,7
2014-2018,17,"CenCA 50% Effort Reduction, <30 fathom Depth Restriction Apr-Jul",9,6,8,10,10,0.07228433346470822,9.165006740259917,0.06397068573456328,4.823368260638566,0.06812750959963576,6.561209258003934,2891512.961412049,91.07627051009024,863175.3688154813,91.86255447706586,0.7540847457842635,1.2742531224414233,8
2014-2018,2,Delay CenCA,8,12,10,15,15,0.07156649915308254,9.062824336624752,0.05580254418566061,23.194341692255993,0.06368452166937157,14.415756914618107,3079925.241335905,99.232060511747,916497.5284129516,99.45433638730523,NaN,NaN,9
2014-2018,1,Delay Statewide,10,13,12,13,12,0.07119706479391734,9.479363751375802,0.05333133609347807,27.071396296582574,0.0622642004436977,16.284348543627964,3066867.119099063,98.64922689643022,912397.2915708463,98.75374796082431,NaN,NaN,10
