pre_post,scenario_number,pretty_scenario_names,rank_hump,rank_blwh,rank_both,rank_dollars,rank_pounds,mean_n_risk_humpback,mean_relative_hump_risk_n,mean_n_risk_blue,mean_relative_blwh_risk_n,mean_n_risk_both,mean_relative_both_risk_n,mean_DCRB_rev,mean_relative_dollars,mean_DCRB_lbs,mean_relative_pounds,mean_bchump,mean_bcblwh,scenario_rank
2014-2018,14,Statewide <30 fathom Depth Restriction Apr-Jul,1,1,1,6,6,0.29458825175055886,-2.665479911662066,0.24227968908676234,-11.673856111091196,0.2684339704186606,-6.876454841769003,16249730.23657143,100,4915832.302340815,100,0,0,1
2014-2018,sq,Status Quo,2,2,2,7,7,0.28772037862894007,0,0.2151807326907625,0,0.25145055565985125,0,16249730.23657143,100,4915832.302340815,100,0,0,2
2014-2018,1,Delay Statewide,3,5,4,5,5,0.2507797398313165,11.557136275638719,0.150686008329226,31.68422239836591,0.20073287408027124,19.407848802375344,15961171.588363856,98.35500486504792,4852950.332840007,98.69755824463945,6.404997068780254,18.498685952911984,3
2014-2018,16,"Statewide 50% Effort Reduction, <30 fathom Depth Restriction Apr-Jul",4,3,3,4,4,0.2428361500886772,18.022341386276082,0.1745964863321302,17.9314279298407,0.2087163182104037,17.654892210728008,14112383.32424588,83.20077123860247,4345595.278326032,84.60776463302429,1.2964946125212362,1.6545509256783757,4
2014-2018,12,Statewide 50% Effort Reduction Apr-Jul,5,4,5,3,3,0.2363334252759569,20.509446143464093,0.15839769374031726,24.947781981126163,0.19736555950813708,22.244149399324225,14112383.32424588,83.20077123860247,4345595.278326032,84.60776463302429,1.5114217238631444,2.2947326691119145,5
2014-2018,3,Early Closure Statewide,6,6,6,2,2,0.19527337716166454,37.161099218065736,0.11281378884750598,44.83501127965283,0.15404358300458526,40.14443350518253,11975036.411920328,66.40154247720494,3775358.254311248,69.21552926604856,1.3176907602286816,2.0069361589521613,6
2014-2018,6,"Delay Statewide, Early Closure Statewide",7,7,7,1,1,0.154647912906651,49.87471404014379,0.044974467521692894,78.24984219603667,0.09981119021417194,60.91407102864363,11635254.422371302,64.14209149236852,3698275.7771926643,67.71129464468544,2.006772418574294,4.145555467168947,7
2009-2014,14,Statewide <30 fathom Depth Restriction Apr-Jul,1,1,1,6,6,0.10830330106229216,-2.456440220721361,0.0865632174574829,-5.424492698445089,0.09743325925988754,-3.6327315550804506,12938488.380731994,99.9984212510345,4955532.934535971,99.99848676505565,0,0,1
2009-2014,sq,Status Quo,2,2,2,7,7,0.10561912231695889,0,0.08237146914653144,0,0.09399529573174516,0,12938699.568177262,100,4955602.904371005,100,0,0,2
2018-2019,1,Delay Statewide,1,1,1,5,5,0.09883530803824869,-2.449002945999257,0.0440054999002986,-7.904976542751863,0.07142040396927365,-4.070109106153463,10532035.360000001,100,3056989.15,100,0,0,1
2018-2019,14,Statewide <30 fathom Depth Restriction Apr-Jul,2,2,2,6,6,0.0978635435122085,-1.4417079947599554,0.041550488814389254,-1.8850946135058555,0.06970701616329887,-1.5734492442789572,10532035.360000001,100,3056989.15,100,0,0,2
2018-2019,sq,Status Quo,3,3,3,7,7,0.09647268904153675,0,0.04078171490344902,0,0.06862720197249289,0,10532035.360000001,100,3056989.15,100,0,0,3
2009-2014,16,"Statewide 50% Effort Reduction, <30 fathom Depth Restriction Apr-Jul",3,3,3,3,3,0.09474342741202414,10.271061943563955,0.07233901000537497,13.163396157855338,0.08354121870869956,11.31394540518102,12390629.732505918,95.54335655158216,4829524.494159703,97.3130979106304,2.350305322355639,3.082849141791712,3
2018-2019,16,"Statewide 50% Effort Reduction, <30 fathom Depth Restriction Apr-Jul",4,4,4,4,4,0.09341574736729873,3.168711999850904,0.03965830704694254,2.7546851797825567,0.06653702720712062,3.045694280542066,10400503.817655927,98.75112893331499,3032313.815453994,99.19282230537175,2.5372611187653606,2.2057402507486685,4
2009-2014,12,Statewide 50% Effort Reduction Apr-Jul,4,4,4,4,4,0.09255846062788957,12.304482939784116,0.06944386553663755,16.890853634815613,0.08100116308226354,14.01019960643768,12390735.326228552,95.54414592606491,4829559.47907722,97.31385452810258,2.827053322267022,3.9663327001113946,4
2018-2019,12,Statewide 50% Effort Reduction Apr-Jul,5,5,5,3,3,0.0921456790830072,4.485217527902153,0.039076097220859696,4.1823098578060875,0.06561088815193344,4.3952160861351235,10400503.817655927,98.75112893331499,3032313.815453994,99.19282230537175,3.5914175991022494,3.3488724091491346,5
2018-2019,3,Early Closure Statewide,6,6,6,2,2,0.0902036589090279,6.498243383482016,0.03831046920411287,6.059690489198011,0.06425706405657039,6.367938354348379,10268972.275311854,97.50225786662999,3007638.480907988,98.38564461074348,2.6016470221905728,2.426067290229892,6
2009-2014,1,Delay Statewide,5,6,6,5,5,0.08526956693669582,18.323636811159474,0.05592469042649026,32.92151994713244,0.07059712868159304,23.83395374166218,12791362.320277262,98.60732503074735,4918612.618815448,99.0622860036953,14.164626727950022,23.905399070029162,5
2009-2014,3,Early Closure Statewide,6,5,5,2,2,0.08342784860332299,20.875582146063977,0.06105090728873245,27.90570170406232,0.07223937794602772,23.45109297176395,11842771.084279839,91.08829185212983,4703516.053783435,94.62770905620515,2.4020941426378903,3.2696053550123008,6
2018-2019,6,"Delay Statewide, Early Closure Statewide",7,7,7,1,1,0.07730315676219064,19.87042391976094,0.03529871455903738,13.444751789846698,0.05630093566061401,17.961196082013497,9962492.250763174,94.59227879731665,2941995.6832935456,96.23834233410824,3.6744542063117267,2.4862139311426263,7
2009-2014,6,"Delay Statewide, Early Closure Statewide",7,7,7,1,1,0.060673522303705846,41.94630764785755,0.03152892008256108,63.837471445180455,0.04610122119313346,50.27524257438778,11502210.26638705,87.90191731301144,4612805.779840894,92.58103262916565,3.675477454821823,5.543745674732236,7
