pre_post,scenario_number,pretty_scenario_names,rank_hump,rank_blwh,rank_both,rank_dollars,rank_pounds,mean_n_risk_humpback,mean_relative_hump_risk_n,mean_n_risk_blue,mean_relative_blwh_risk_n,mean_n_risk_both,mean_relative_both_risk_n,mean_DCRB_rev,mean_relative_dollars,mean_DCRB_lbs,mean_relative_pounds,mean_cbhump,mean_cbblwh,scenario_rank
2014-2018,14,Statewide <30 fathom Depth Restriction Apr-Jul,1,1,1,6,6,0.08157546812229415,-3.3758201217472306,0.07788276862863253,-12.79366361423993,0.07972911837546333,-7.987825837922435,3108251.9731982653,100,922574.804611793,100,0,0,1
2014-2018,sq,Status Quo,2,2,2,7,7,0.07895031240882172,0,0.06785313434446626,0,0.07340172337664398,0,3108251.9731982653,100,922574.804611793,100,NaN,NaN,2
2014-2018,1,Delay Statewide,3,4,3,5,5,0.07119706479391734,9.479363751375802,0.05333133609347807,27.071396296582574,0.0622642004436977,16.284348543627964,3066867.119099063,98.64922689643022,912397.2915708463,98.75374796082431,NaN,NaN,3
2014-2018,3,Early Closure Statewide,4,6,5,4,4,0.06785536166691887,17.74372833650641,0.037353031498895295,31.55965000746755,0.05260419658290708,23.323861725181285,2968302.8089867784,87.12148858285789,913089.8673927133,90.96818793908393,0.7313206041603107,0.43233044406839044,4
2014-2018,16,"Statewide 50% Effort Reduction, <30 fathom Depth Restriction Apr-Jul",5,3,4,2,2,0.06508973810684139,18.956124328638737,0.05135749589261501,20.20713804958604,0.0582236169997282,19.059396527304983,2667239.5399691747,82.67055821857171,803696.102578164,84.11307047715647,0.7978036096331915,0.6729317574401922,5
2014-2018,12,Statewide 50% Effort Reduction Apr-Jul,6,5,6,1,1,0.06251608704910688,22.30898696591054,0.045323443689232606,27.935601714843518,0.053919765369169745,24.50722356788021,2667239.5399691747,82.67055821857171,803696.102578164,84.11307047715647,0.6601265187437704,0.492039913871713,6
2014-2018,6,"Delay Statewide, Early Closure Statewide",7,7,7,3,3,0.05451542641186551,33.86167007561381,0.015298968317772301,72.17773960815484,0.03490719736481891,48.90539396124567,2854143.7881421437,83.33193791765845,887064.5857334866,88.30914932049714,0.5150069137082723,0.23866371488930271,7
2009-2014,14,Statewide <30 fathom Depth Restriction Apr-Jul,1,1,1,7,7,0.038868450857776446,-2.4609977930345295,0.03020857908580428,-4.242902235377155,0.03453851497179036,-3.203935540162677,3409618.0890587172,100.001984970753,1272922.3574523255,100.00177972842043,0.001470405631798361,9.501640333616605e-4,1
2009-2014,sq,Status Quo,2,2,2,6,6,0.03793297169437423,0,0.02899603729306499,0,0.03346450449371961,0,3409544.0517780157,100,1272899.5767505711,100,NaN,NaN,2
2009-2014,16,"Statewide 50% Effort Reduction, <30 fathom Depth Restriction Apr-Jul",3,3,3,4,4,0.03355516377227317,11.074074776427,0.02495377245461516,14.716748679833204,0.029254468113444163,12.48410061656396,3234823.4364830726,94.5703347697199,1233358.5072190955,96.65370299083246,0.4821738827012767,0.3747700782325102,3
