pre_post,scenario_number,pretty_scenario_names,rank_hump,rank_blwh,rank_both,rank_dollars,rank_pounds,rank_cbhump,rank_cbblwh,mean_n_risk_humpback,mean_relative_hump_risk_n,mean_n_risk_blue,mean_relative_blwh_risk_n,mean_n_risk_both,mean_relative_both_risk_n,mean_DCRB_rev,mean_relative_dollars,mean_DCRB_lbs,mean_relative_pounds,mean_cbhump,mean_cbblwh,scenario_rank
2014-2018,14,Statewide <30 fathom Depth Restriction Apr-Jul,1,1,1,24,24,3,4,0.29487538641751665,-2.6839580752128835,0.24337299038327995,-11.714991763003013,0.2691241884003983,-6.913640885174938,16257921.958709229,100,4917991.835619682,100,0,0,1
2014-2018,15,CenCA <30 fathom Depth Restriction Apr-Jul,2,3,3,25,25,4,5,0.2934558977179498,-2.1566323259055773,0.23006023746391943,-5.962902596648817,0.2617580675909346,-3.950149419180865,16257921.958709229,100,4917991.835619682,100,0,0,2
2014-2018,5,Early Closure BIAs,3,2,2,28,28,1,2,0.2928897308278387,-2.0789649079043073,0.24234722042498036,-11.302990500099375,0.2676184756264095,-6.353071673038057,16257921.958709229,100,4917991.835619682,100,-6.356931686483774e-15,-6.717353708582136e-16,3
2014-2018,sq,Status Quo,4,6,4,31,31,NA,NA,0.28795031583599345,0,0.21600661468901025,0,0.25197846526250184,0,16257921.958709229,100,4917991.835619682,100,NaN,NaN,4
2014-2018,11,"Delay CenCA, Early Closure BIAs",5,8,6,23,23,8,9,0.2715838973650038,4.7140040715279685,0.21669590639418929,2.3860243945005717,0.24413990187959658,3.0220006740162235,16257921.958709229,100,4917991.835619682,100,4.869680882656467e-16,2.14633035645474e-15,5
2014-2018,4alt,Early Closure CenCA,7,5,7,27,27,5,6,0.27127810654574536,6.660570400517771,0.217289608512225,-0.7062886765191317,0.24428385752898518,3.153640740704089,16257921.958709229,100,4917991.835619682,100,0,0,6
2014-2018,10,"Delay Statewide, Early Closure BIAs",6,7,5,22,22,2,3,0.27109635933341375,4.827346651053246,0.2204010179288364,0.992985806477581,0.24574868863112506,2.4988546190014125,16257921.958709229,100,4917991.835619682,100,0,0,7
2014-2018,18,"CenCA 50% Effort Reduction, Statewide <30 fathom Depth Restriction Apr-Jul",10,4,8,20,20,27,1,0.264590854272329,9.548126963798865,0.2182252470281324,-0.9333258122290827,0.2414080506502307,4.400626713404651,15132146.666035384,90.97159933642219,4616720.132406908,91.82982582804571,0.8067132082075485,-6.356635859955793,8
2014-2018,2,Delay CenCA,8,22,14,26,26,NA,NA,0.26415556855229255,7.587458528179628,0.17780957550398704,19.65227426919995,0.2209825720281398,12.222535521360422,16257921.958709229,100,4917991.835619682,100,NaN,NaN,9
2014-2018,1,Delay Statewide,9,21,13,21,21,NA,NA,0.26354117065267924,7.736216222381746,0.1800044944299267,18.833603079431885,0.22177283254130295,11.961370368812894,16257921.958709229,100,4917991.835619682,100,NaN,NaN,10
