pre_post,scenario_number,pretty_scenario_names,rank_hump,rank_blwh,rank_both,rank_dollars,rank_pounds,mean_n_risk_humpback,mean_relative_hump_risk_n,mean_n_risk_blue,mean_relative_blwh_risk_n,mean_n_risk_both,mean_relative_both_risk_n,mean_DCRB_rev,mean_relative_dollars,mean_DCRB_lbs,mean_relative_pounds,mean_cbhump,mean_cbblwh,scenario_rank
2014-2018,sq,Status Quo,1,2,1,5,5,0.07895031240882172,0,0.06785313434446626,0,0.07340172337664398,0,3108251.9731982653,100,922574.804611793,100,NaN,NaN,1
2014-2018,4alt,Early Closure CenCA,2,1,2,6,6,0.07484176763742349,5.55888071941433,0.06874274287856723,-1.3306995883555355,0.07179225525799537,1.986735024809075,3108558.6818093765,100.01398861244817,922655.3185006819,100.0118789814411,-9.369476320838726e-4,0.05663618948415613,2
2014-2018,15alt,CenCA <30 fathom Depth Restriction Apr-Jul,3,3,3,2,2,0.07061801367477698,11.433035697776674,0.06261613041894114,6.142272777238567,0.06661707204685906,8.3257362766342915,2815058.2559724706,88.01093188986317,841758.3769038611,89.00629451753174,0.8028878170644811,1.3020270638628806,3
2014-2018,13alt,CenCA 50% Effort Reduction Apr-Jul,5,4,5,3,3,0.06979392791730184,12.432671378602869,0.060821126689328986,8.677184354336662,0.06530752730331542,10.0780660594039,2867413.809624074,90.08396786607537,856570.9585109528,90.95773391999312,0.5808932767978285,0.7880194942013394,4
2014-2018,9alt,"Delay CenCA, Early Closure CenCA",4,5,4,4,4,0.06945294252281246,12.401160885129654,0.06561624397627426,8.837315082583727,0.06753459324954336,9.472313359481705,3103956.8147639222,99.90383875460026,921634.7730461364,99.92905418604695,0.005968214108637426,0.05896397471313641,5
2014-2018,17alt,"CenCA 50% Effort Reduction, <30 fathom Depth Restriction Apr-Jul",6,6,6,1,1,0.06660263401556657,16.86449106086629,0.05882836927338264,10.950351313590474,0.0627155016444746,13.230973010190164,2720816.9510111767,84.08943381100697,816162.7446569868,85.46088117875898,0.7047153702795745,0.9882987724656723,6
2009-2014,sq,Status Quo,1,2,1,6,6,0.03793297169437423,0,0.02899603729306499,0,0.03346450449371961,0,3409544.0517780157,100,1272899.5767505711,100,NaN,NaN,1
2009-2014,15alt,CenCA <30 fathom Depth Restriction Apr-Jul,2,3,3,3,3,0.03606525269733846,4.587804528932098,0.027741288007562415,4.418654145352621,0.031903270352450434,4.414666214875886,3341559.0324546346,97.74508407722891,1256894.2659651581,98.56919114806651,0.48236039940767333,0.5863936362062805,2
2009-2014,4alt,Early Closure CenCA,3,1,2,5,5,0.03574516796687535,5.230270509310095,0.029528757907185413,-1.0451813890927375,0.03263696293703038,2.311266159473546,3409544.0517780157,100,1272899.5767505711,100,0,0,3
2009-2014,13alt,CenCA 50% Effort Reduction Apr-Jul,4,5,4,2,2,0.034321287346134405,8.843235242565537,0.02638619140147169,9.585642870415143,0.030353739373803045,8.943991064986403,3302836.433026741,96.50771098172575,1249554.2519357256,97.82012829351028,0.3582725784676791,0.37334932950924404,4
2009-2014,17alt,"CenCA 50% Effort Reduction, <30 fathom Depth Restriction Apr-Jul",5,6,5,1,1,0.03365013305417661,10.46564713130161,0.025959961347356113,11.098775280305134,0.029805047200766363,10.48124377920362,3268843.9233650505,95.3802530203402,1241551.5965430192,97.10472386754354,0.4092614652183168,0.44990851470876725,5
2009-2014,9alt,"Delay CenCA, Early Closure CenCA",6,4,6,4,4,0.031507114661746626,16.4899541146975,0.02824224278906036,6.3877572258439885,0.029874678725403492,11.090778371853249,3395423.627543952,99.59578981790229,1269612.086686147,99.71437844329483,0.023804133328219908,-0.0239064145221305,6
2018-2019,sq,Status Quo,1,1,1,6,6,0.02855364522441576,0,0.01175491911059787,0,0.020154282167506817,0,1761991.935,100,511476.65,100,NaN,NaN,1
2018-2019,4alt,Early Closure CenCA,2,3,2,5,5,0.02851500796876554,0.13531461691337343,0.011628254776169262,1.0775432245587413,0.0200716313724674,0.41009049269274955,1761991.935,100,511476.64999999997,99.99999999999999,0,0,2
2018-2019,15alt,CenCA <30 fathom Depth Restriction Apr-Jul,3,2,3,4,4,0.028337447453699552,0.757163469031763,0.011671299068739085,0.7113621205899756,0.02000437326121932,0.7438067257447778,1755465.932235023,99.62962357344858,510208.8380184332,99.75212710461625,0.4891630958173966,0.5206580668706975,3
2018-2019,17alt,"CenCA 50% Effort Reduction, <30 fathom Depth Restriction Apr-Jul",4,5,4,2,2,0.027694442978731894,3.0090807633526784,0.011357820481105781,3.378148550031934,0.019526131729918836,3.1167095526761,1744005.0536175116,98.97917345561015,508133.2190092166,99.34631796177138,0.339248635936397,0.3021852145549367,4
2018-2019,13alt,CenCA 50% Effort Reduction Apr-Jul,5,6,5,3,3,0.02767297370906448,3.0842700062625683,0.011351708115758325,3.430146911653542,0.019512340912411403,3.1851357927813795,1747268.055,99.16436166888583,508767.125,99.47025440946327,0.2709355307471188,0.24361590119512963,5
2018-2019,9alt,"Delay CenCA, Early Closure CenCA",6,4,6,1,1,0.026122948295303445,8.51273772580835,0.011522513381882675,1.9770933898274667,0.01882273083859306,6.606791141688562,1721216.0153834068,97.68580554731125,503877.89063482085,98.51434872634378,0.271850787282302,1.1705033584127775,6
