pre_post,scenario_number,pretty_scenario_names,rank_hump,rank_blwh,rank_both,rank_dollars,rank_pounds,mean_n_risk_humpback,mean_relative_hump_risk_n,mean_n_risk_blue,mean_relative_blwh_risk_n,mean_n_risk_both,mean_relative_both_risk_n,mean_DCRB_rev,mean_relative_dollars,mean_DCRB_lbs,mean_relative_pounds,mean_bchump,mean_bcblwh,scenario_rank
2014-2018,sq,Status Quo,1,2,1,12,12,0.28772037862894007,0,0.2151807326907625,0,0.25145055565985125,0,16249730.23657143,100,4915832.302340815,100,0,0,1
2014-2018,4alt,Early Closure CenCA,2,1,2,13,13,0.27127810654574536,6.582315980306042,0.217289608512225,-1.0419030218377063,0.24428385752898518,2.9571262943742322,16257921.958709229,100.0547255383876,4917991.835619682,100.04880446513275,6.582315980306042,0.27325806151833054,2
2014-2018,15alt,CenCA <30 fathom Depth Restriction Apr-Jul,3,3,3,8,8,0.25614912777155363,12.752243605729397,0.1976472122474289,7.596785247044233,0.22689817000949125,10.058242995129982,14699460.063634044,87.66291939620262,4505150.527718495,88.950702212582,1.4875634803365338,1.271337073284742,3
2014-2018,13alt,CenCA 50% Effort Reduction Apr-Jul,4,4,4,9,9,0.25614004957985365,12.75426389691387,0.19381657099688082,9.275516904972507,0.22497831028836723,10.857200131021788,15002964.661336057,89.98441189578236,4582165.732077166,90.93587116432478,1.8012887929210553,1.8469094048193386,4
2014-2018,9alt,"Delay CenCA, Early Closure CenCA",5,8,6,11,11,0.247345482212885,14.322733418091744,0.1822385197678759,18.249418334323508,0.21479200099038043,15.021337154447384,16205438.889152788,99.81468171290362,4907547.014992506,99.8915767407039,14.322733418091744,18.672830328927827,5
2014-2018,14alt,Statewide <30 fathom Depth Restriction Apr-Jul,6,7,8,5,5,0.24444884842725376,17.25886513180064,0.1834235536042217,13.89278973089019,0.21393620101573774,15.35007137433079,14122444.838463463,83.36145296412279,4354909.582658188,85.01339661618569,1.2957446437575548,1.38465872199939,6
2014-2018,5alt,Early Closure BIAs,8,6,5,7,7,0.24326780142242596,17.687792749043844,0.18677402026066514,12.50155988884736,0.21502091084154554,14.867468876176611,14262641.44181187,84.3530023230527,4388026.184910379,85.87494813882995,1.508143906928606,1.5484192153373464,7
2014-2018,17alt,"CenCA 50% Effort Reduction, <30 fathom Depth Restriction Apr-Jul",9,5,7,6,6,0.24268772455355173,18.251668104898876,0.18660323048303545,12.39226690957333,0.2146454775182936,15.108528771893365,14227829.574867364,83.81587159388367,4376824.844766007,85.41122227061578,1.5699715765097289,1.5299247022758127,8
2014-2018,7alt,"Delay Statewide, Early Closure CenCA",7,10,10,10,10,0.23670001749572883,17.47270235030256,0.16006954765503623,27.560765588872435,0.19838478257538253,20.714576534831526,16024323.41038279,98.70080268781439,4866237.589541519,98.94959610818124,12.576797542609926,18.27641625877178,9
2014-2018,18alt,"CenCA 50% Effort Reduction, Statewide <30 fathom Depth Restriction Apr-Jul",10,9,9,2,2,0.23098744520925182,22.758289630970122,0.17237957183982827,18.68827139341928,0.20168350852454006,20.400357151094177,13650814.349696783,79.51440516180384,4226583.899705701,81.47391667421948,1.3925168380227517,1.5362917899440907,10
2014-2018,16alt,"Statewide 50% Effort Reduction, <30 fathom Depth Restriction Apr-Jul",11,11,11,1,1,0.21776644842702467,27.984513908007436,0.14516841859085988,30.714750850831397,0.18146743350894226,28.7681553187779,13048740.625191895,74.88149772066386,4065133.9184847185,77.11446294111713,1.3629375871052913,1.9110191585250587,11
2014-2018,11alt,"Delay CenCA, Early Closure BIAs",12,12,12,4,4,0.20878216508663539,28.580961030597752,0.12791728564333976,41.88678590965985,0.16834972536498757,32.931318329052814,13982671.49500225,82.54624130323398,4328126.991216254,84.70621436075014,3.0698542800588067,6.526943158500668,12
2014-2018,10alt,"Delay Statewide, Early Closure BIAs",13,13,13,3,3,0.20275045871216013,30.357858414702093,0.1175163984589278,46.3629288195337,0.16013342858554397,35.814732981256626,13915178.150880544,82.06000432151897,4310290.446513344,84.22619277418312,3.1515513591520983,6.742296312445607,13
2009-2014,sq,Status Quo,1,1,1,12,12,0.10561912231695889,0,0.08237146914653144,0,0.09399529573174516,0,12938699.568177262,100,4955602.904371005,100,0,0,1
2009-2014,15alt,CenCA <30 fathom Depth Restriction Apr-Jul,2,3,3,9,9,0.10034736916110121,4.956153582197003,0.07831983519111403,5.093363574034493,0.08933360217610761,4.933992692697322,12691032.583406126,97.7668869799501,4896723.833853634,98.63964010834886,2.3730188578496727,2.6500430472065,2
2009-2014,4alt,Early Closure CenCA,3,2,2,13,13,0.09892752774411685,6.110943804513571,0.08186990443427374,1.2804041620393214,0.0903987160891953,3.723080535331993,12940552.408177262,100.00805134355818,4956206.104371004,100.00770883448476,6.110943804513571,2.529012578219212,3
2009-2014,14alt,Statewide <30 fathom Depth Restriction Apr-Jul,4,4,4,7,7,0.09850248640401846,6.653803886927847,0.07670510276950757,7.289186971523187,0.08760379458676301,6.826770027811861,12573413.299878912,96.9714048309055,4868591.874567836,98.14846258895217,2.2673114220116553,2.5503987634867213,4
2009-2014,13alt,CenCA 50% Effort Reduction Apr-Jul,5,5,5,8,8,0.09687196018672374,8.198446487719417,0.07480343713779515,9.890408683714222,0.08583769866225945,8.72647445384779,12664692.72233801,97.53635717760396,4892623.252691676,98.50551360189233,3.75243985347246,5.001485761230888,5
2018-2019,sq,Status Quo,1,1,1,13,13,0.09647268904153675,0,0.04078171490344902,0,0.06862720197249289,0,10532035.360000001,100,3056989.15,100,0,0,1
2018-2019,4alt,Early Closure CenCA,2,2,2,12,12,0.09577595786570393,0.722205613583371,0.04031514308650898,1.144071106486455,0.06804555047610646,0.8475523985657651,10532035.360000001,100,3056989.15,100,0.722205613583371,1.144071106486455,2
