pre_post,scenario_number,pretty_scenario_names,rank_hump,rank_blwh,rank_both,rank_dollars,rank_pounds,mean_n_risk_humpback,mean_relative_hump_risk_n,mean_n_risk_blue,mean_relative_blwh_risk_n,mean_n_risk_both,mean_relative_both_risk_n,mean_DCRB_rev,mean_relative_dollars,mean_DCRB_lbs,mean_relative_pounds,mean_cbhump,mean_cbblwh,scenario_rank
2014-2018,sq,Status Quo,1,2,1,12,12,0.07895031240882172,0,0.06785313434446626,0,0.07340172337664398,0,3108251.9731982653,100,922574.804611793,100,NaN,NaN,1
2014-2018,4alt,Early Closure CenCA,2,1,2,13,13,0.07484176763742349,5.55888071941433,0.06874274287856723,-1.3306995883555355,0.07179225525799537,1.986735024809075,3108558.6818093765,100.01398861244817,922655.3185006819,100.0118789814411,-9.369476320838726e-4,0.05663618948415613,2
2014-2018,15alt,CenCA <30 fathom Depth Restriction Apr-Jul,3,3,3,8,8,0.07061801367477698,11.433035697776674,0.06261613041894114,6.142272777238567,0.06661707204685906,8.3257362766342915,2815058.2559724706,88.01093188986317,841758.3769038611,89.00629451753174,0.8028878170644811,1.3020270638628806,3
2014-2018,13alt,CenCA 50% Effort Reduction Apr-Jul,5,4,5,9,9,0.06979392791730184,12.432671378602869,0.060821126689328986,8.677184354336662,0.06530752730331542,10.0780660594039,2867413.809624074,90.08396786607537,856570.9585109528,90.95773391999312,0.5808932767978285,0.7880194942013394,4
2014-2018,9alt,"Delay CenCA, Early Closure CenCA",4,5,4,11,11,0.06945294252281246,12.401160885129654,0.06561624397627426,8.837315082583727,0.06753459324954336,9.472313359481705,3103956.8147639222,99.90383875460026,921634.7730461364,99.92905418604695,0.005968214108637426,0.05896397471313641,5
2014-2018,7alt,"Delay Statewide, Early Closure CenCA",6,10,9,10,10,0.06781600321932747,14.246003000197646,0.05779552091065776,20.207284578296743,0.06280576206499262,15.49289140697224,3074777.757328959,98.88852475803596,914081.6728483157,98.92445996189929,0.09712074533853213,0.11631771683869023,6
2014-2018,14alt,Statewide <30 fathom Depth Restriction Apr-Jul,7,8,6,7,7,0.06720344757594134,15.964995085621075,0.05861093239921748,11.795848843082798,0.06290718998757941,13.21381711022663,2733602.5857769307,85.1170483598665,820541.0091505394,86.36247653305138,0.7380481869325332,0.9418205394507412,7
2014-2018,17alt,"CenCA 50% Effort Reduction, <30 fathom Depth Restriction Apr-Jul",8,6,7,6,6,0.06660263401556657,16.86449106086629,0.05882836927338264,10.950351313590474,0.0627155016444746,13.230973010190164,2720816.9510111767,84.08943381100697,816162.7446569868,85.46088117875898,0.7047153702795745,0.9882987724656723,8
2014-2018,5alt,Early Closure BIAs,9,7,8,5,5,0.06646746429145474,16.926488185011568,0.05887820161816745,11.286921510895187,0.06267283295481109,13.416388786296224,2706797.9164380385,83.91218178031855,812769.1288100284,85.25813637845886,0.7316155339758589,1.034755155934405,9
2014-2018,18alt,"CenCA 50% Effort Reduction, Statewide <30 fathom Depth Restriction Apr-Jul",10,9,10,2,2,0.06318806791673093,21.396450448710684,0.05482317125365898,16.6039273794347,0.05900561958519495,18.1190538437825,2639361.2808156363,81.19555028101028,794945.3769036651,82.81706319427862,0.6818946254471373,0.8371940082329118,10
2014-2018,16alt,"Statewide 50% Effort Reduction, <30 fathom Depth Restriction Apr-Jul",13,11,11,1,1,0.057903727833664986,28.62653193232289,0.0417215777779075,32.501894278247406,0.04981265280578624,29.660218001379505,2479914.846258507,75.22908239850497,752679.2048475372,77.29430874368217,0.7275628088587939,0.5924196853436845,11
2014-2018,11alt,"Delay CenCA, Early Closure BIAs",11,12,12,4,4,0.057679032457947685,27.628971150410095,0.04544973877050512,36.70290781738363,0.0515643856142264,29.717585398312217,2646230.062036108,81.96489942683088,798838.7483762229,83.87283921358092,0.558150732199815,0.7324592650961372,12
