Rec_ID,westcoastdate_notime,crab_year,Region
50357327,2009-11-14,2009_2010,NorCA
50357477,2009-11-25,2009_2010,NorCA
50360709,2009-11-25,2009_2010,NorCA
50362011,2009-11-25,2009_2010,NorCA
50319323,2009-11-25,2009_2010,NorCA
50357327,2009-11-13,2009_2010,NorCA
50357327,2009-11-15,2009_2010,NorCA
50357327,2009-11-16,2009_2010,NorCA
50357477,2009-11-26,2009_2010,NorCA
50357477,2009-11-27,2009_2010,NorCA
50360709,2009-11-26,2009_2010,NorCA
50362011,2009-11-26,2009_2010,NorCA
50362011,2009-11-27,2009_2010,NorCA
50402989,2009-11-25,2009_2010,NorCA
50402989,2009-11-26,2009_2010,NorCA
48612431,2010-11-11,2010_2011,CenCA
48661781,2010-11-25,2010_2011,NorCA
48667287,2010-11-12,2010_2011,NorCA
48674189,2010-11-13,2010_2011,NorCA
48661781,2010-11-26,2010_2011,NorCA
48667287,2010-11-13,2010_2011,NorCA
48673413,2010-11-11,2010_2011,NorCA
48673413,2010-11-12,2010_2011,NorCA
48673419,2010-11-11,2010_2011,NorCA
48673419,2010-11-11,2010_2011,CenCA
48322163,2011-11-03,2011_2012,CenCA
440537301,2013-07-23,2012_2013,NorCA
440537301,2013-07-24,2012_2013,NorCA
440538163,2013-07-17,2012_2013,NorCA
440538516,2013-07-18,2012_2013,NorCA
440541411,2013-07-23,2012_2013,NorCA
440541417,2013-07-25,2012_2013,NorCA
440541509,2013-07-24,2012_2013,NorCA
440541789,2013-07-24,2012_2013,NorCA
440541792,2013-07-30,2012_2013,NorCA
440541803,2013-07-17,2012_2013,NorCA
440581693,2013-11-12,2013_2014,NorCA
440592678,2013-11-13,2013_2014,NorCA
440537301,2013-07-25,2012_2013,NorCA
440538516,2013-07-17,2012_2013,NorCA
440538516,2013-07-19,2012_2013,NorCA
440538516,2013-07-20,2012_2013,NorCA
440538516,2013-07-21,2012_2013,NorCA
440259903,2014-11-27,2014_2015,NorCA
440301526,2014-11-13,2014_2015,NorCA
440303272,2014-11-13,2014_2015,NorCA
440306430,2014-11-13,2014_2015,NorCA
440307972,2014-11-13,2014_2015,NorCA
440314194,2014-11-26,2014_2015,NorCA
440316930,2014-11-25,2014_2015,NorCA
440317010,2014-11-09,2014_2015,CenCA
440265873,2014-11-13,2014_2015,NorCA
440267272,2014-11-16,2014_2015,NorCA
440267273,2014-11-17,2014_2015,NorCA
440267274,2014-11-14,2014_2015,NorCA
440267274,2014-11-15,2014_2015,NorCA
440306536,2014-11-20,2014_2015,NorCA
440314194,2014-11-27,2014_2015,NorCA
440314195,2014-11-25,2014_2015,NorCA
440314196,2014-11-25,2014_2015,NorCA
440316902,2014-11-24,2014_2015,NorCA
440316928,2014-11-26,2014_2015,NorCA
440316928,2014-11-27,2014_2015,NorCA
440316930,2014-11-27,2014_2015,NorCA
440317002,2014-11-12,2014_2015,NorCA
440317002,2014-11-13,2014_2015,NorCA
440318840,2014-11-27,2014_2015,NorCA
503700096,2016-11-12,2016_2017,NorCA
503703130,2016-11-12,2016_2017,NorCA
503703130,2016-11-13,2016_2017,NorCA
503704241,2016-11-25,2016_2017,NorCA
503704241,2016-11-26,2016_2017,NorCA
503704693,2016-11-10,2016_2017,CenCA
503704693,2016-11-11,2016_2017,CenCA
503739501,2016-11-27,2016_2017,NorCA
503739502,2016-11-27,2016_2017,NorCA
503742223,2016-11-10,2016_2017,NorCA
503742223,2016-11-11,2016_2017,CenCA
503743631,2016-11-10,2016_2017,CenCA
503743923,2016-11-23,2016_2017,NorCA
503745362,2016-11-12,2016_2017,NorCA
503745362,2016-11-13,2016_2017,NorCA
503745365,2016-11-13,2016_2017,NorCA
503745366,2016-11-13,2016_2017,NorCA
503746011,2016-11-13,2016_2017,NorCA
503748119,2016-11-12,2016_2017,NorCA
503748119,2016-11-13,2016_2017,NorCA
503748260,2016-11-22,2016_2017,NorCA
503748260,2016-11-23,2016_2017,NorCA
503748262,2016-11-26,2016_2017,NorCA
503749072,2016-11-12,2016_2017,NorCA
503749072,2016-11-13,2016_2017,NorCA
503743923,2016-11-24,2016_2017,NorCA
503745349,2016-11-12,2016_2017,NorCA
503748259,2016-11-22,2016_2017,NorCA
503748261,2016-11-23,2016_2017,NorCA
503748399,2016-11-22,2016_2017,NorCA
503750004,2016-11-27,2016_2017,NorCA
505180488,2017-11-11,2017_2018,CenCA
505206805,2017-11-13,2017_2018,NorCA
505206805,2017-11-19,2017_2018,NorCA
505206927,2017-11-10,2017_2018,CenCA
